dataset,model,metric,key,is_baseline,strategy,use_t_next,renoise_factor,n_timesteps,schedule,mean,std,baseline_mean,delta_vs_baseline
adult,LR,accuracy,BASELINE,True,target,True,1.0,5,const,0.8376842751842751,0.0037148199297809712,0.8376842751842751,0.0
adult,DT,accuracy,BASELINE,True,target,True,1.0,5,const,0.8206388206388207,0.008607731239091818,0.8206388206388207,0.0
adult,RF,accuracy,BASELINE,True,target,True,1.0,5,const,0.8221437346437346,0.0031893746893727685,0.8221437346437346,0.0
adult,LR,accuracy,st=target__tnxt=F__rn=1__T=2__sc=const,False,target,False,1.0,2,const,0.8248771498771499,0.002463903086011237,0.8376842751842751,-0.012807125307125244
adult,DT,accuracy,st=target__tnxt=F__rn=1__T=2__sc=const,False,target,False,1.0,2,const,0.8073095823095823,0.004844798289118148,0.8206388206388207,-0.01332923832923838
adult,RF,accuracy,st=target__tnxt=F__rn=1__T=2__sc=const,False,target,False,1.0,2,const,0.8164004914004914,0.001808130961859326,0.8221437346437346,-0.005743243243243157
adult,LR,accuracy,st=target__tnxt=F__rn=1__T=5__sc=const,False,target,False,1.0,5,const,0.8449324324324323,0.004656165517996859,0.8376842751842751,0.007248157248157194
adult,DT,accuracy,st=target__tnxt=F__rn=1__T=5__sc=const,False,target,False,1.0,5,const,0.8175368550368551,0.003116073447987904,0.8206388206388207,-0.0031019656019655173
adult,RF,accuracy,st=target__tnxt=F__rn=1__T=5__sc=const,False,target,False,1.0,5,const,0.8234336609336609,0.005921547960023885,0.8221437346437346,0.001289926289926302
adult,LR,accuracy,st=target__tnxt=F__rn=1__T=10__sc=const,False,target,False,1.0,10,const,0.8408783783783782,0.0031671157190409664,0.8376842751842751,0.0031941031941030706
adult,DT,accuracy,st=target__tnxt=F__rn=1__T=10__sc=const,False,target,False,1.0,10,const,0.8332309582309583,0.006947416124246924,0.8206388206388207,0.01259213759213762
adult,RF,accuracy,st=target__tnxt=F__rn=1__T=10__sc=const,False,target,False,1.0,10,const,0.8281941031941031,0.002754556182405232,0.8221437346437346,0.006050368550368557
adult,LR,accuracy,st=target__tnxt=F__rn=1__T=20__sc=const,False,target,False,1.0,20,const,0.8397420147420147,0.002741168640870341,0.8376842751842751,0.0020577395577395796
adult,DT,accuracy,st=target__tnxt=F__rn=1__T=20__sc=const,False,target,False,1.0,20,const,0.8318181818181818,0.006417669723149359,0.8206388206388207,0.011179361179361136
adult,RF,accuracy,st=target__tnxt=F__rn=1__T=20__sc=const,False,target,False,1.0,20,const,0.8275184275184275,0.002124277207099585,0.8221437346437346,0.0053746928746929434
adult,LR,accuracy,st=target__tnxt=T__rn=1__T=2__sc=const,False,target,True,1.0,2,const,0.8292383292383292,0.0040975626732574575,0.8376842751842751,-0.008445945945945943
adult,DT,accuracy,st=target__tnxt=T__rn=1__T=2__sc=const,False,target,True,1.0,2,const,0.8113943488943489,0.0008433372369622927,0.8206388206388207,-0.009244471744471738
adult,RF,accuracy,st=target__tnxt=T__rn=1__T=2__sc=const,False,target,True,1.0,2,const,0.8235565110565111,0.0032328494759068273,0.8221437346437346,0.0014127764127764841
adult,LR,accuracy,st=target__tnxt=T__rn=1.5__T=2__sc=const,False,target,True,1.5,2,const,0.8308968058968059,0.002313450809000796,0.8376842751842751,-0.0067874692874692055
adult,DT,accuracy,st=target__tnxt=T__rn=1.5__T=2__sc=const,False,target,True,1.5,2,const,0.8160626535626536,0.004219369693473884,0.8206388206388207,-0.004576167076167037
adult,RF,accuracy,st=target__tnxt=T__rn=1.5__T=2__sc=const,False,target,True,1.5,2,const,0.8227579852579853,0.002912675115363312,0.8221437346437346,0.0006142506142506887
adult,LR,accuracy,st=target__tnxt=T__rn=2__T=2__sc=const,False,target,True,2.0,2,const,0.8325859950859952,0.003717865696837938,0.8376842751842751,-0.00509828009827995
adult,DT,accuracy,st=target__tnxt=T__rn=2__T=2__sc=const,False,target,True,2.0,2,const,0.8132063882063882,0.002113593431705776,0.8206388206388207,-0.007432432432432412
adult,RF,accuracy,st=target__tnxt=T__rn=2__T=2__sc=const,False,target,True,2.0,2,const,0.8258599508599509,0.001999855110085949,0.8221437346437346,0.003716216216216317
adult,LR,accuracy,st=target__tnxt=T__rn=1__T=5__sc=const,False,target,True,1.0,5,const,0.837960687960688,0.0023738223413930807,0.8376842751842751,0.0002764127764128821
adult,DT,accuracy,st=target__tnxt=T__rn=1__T=5__sc=const,False,target,True,1.0,5,const,0.82245085995086,0.012691895254716172,0.8206388206388207,0.0018120393120393263
